open,high,low,close,tick_volume,returns
1.2677,1.2814,1.2667,1.2728,10817,0.004023033840814039
1.2727,1.2747,1.2621,1.2628,10996,-0.007856693903205536
1.2631999999999999,1.2786,1.256,1.2776,11462,0.011719987329743553
1.2778,1.287,1.2703,1.282,11115,0.003443957420162791
1.2842,1.2901,1.2735,1.2738,10988,-0.006396255850233956
1.274,1.28,1.2711999999999999,1.2771,11663,0.002590673575129321
1.2766,1.2791000000000001,1.2628,1.2647,11698,-0.00970949808159105
1.2647,1.2674,1.256,1.2591,11548,-0.00442792757175603
1.2591,1.2610999999999999,1.2351,1.2395,11397,-0.015566674608847642
1.2383,1.2427,1.2333,1.236,10596,-0.0028237192416297185
1.2356,1.2601,1.2345,1.2599,11405,0.019336569579287977
1.2601,1.2675,1.2548,1.2639,11671,0.0031748551472339237
1.2643,1.2752,1.2633,1.2730000000000001,11207,0.007199936703853327
1.2731,1.2779,1.2562,1.2586,10895,-0.011311861743912188
1.258,1.2617,1.2456,1.2469999999999999,11662,-0.009216589861751223
1.2469000000000001,1.2665,1.2437,1.2643,11714,0.013873295910184602
1.2643,1.2648,1.241,1.2429999999999999,12759,-0.01684726726251684
1.2422,1.2532,1.2362,1.2407,12111,-0.001850362027353114
1.2408,1.2495,1.2349999999999999,1.2467,11891,0.004835979688885272
1.2481,1.2490999999999999,1.2391,1.2441,10340,-0.002085505735140769
1.2442,1.2601,1.2416,1.2546,11802,0.008439836026042924
1.2548,1.2565,1.249,1.2538,12184,-0.0006376534353578212
1.2538,1.264,1.252,1.2557,11999,0.0015153932046578777
1.2556,1.2727,1.2511999999999999,1.2705,11789,0.01178625467866512
1.2619,1.2764,1.2606,1.2695,12458,-0.0007870916961825181
1.27,1.2791000000000001,1.2667,1.2684,13030,-0.0008664828672706459
1.2685,1.2849,1.2647,1.2844,12719,0.012614317250078777
1.2844,1.2848,1.2786,1.2817,12373,-0.002102148863282416
1.2819,1.2894,1.2715,1.2732999999999999,11656,-0.006553795740032897
1.2728,1.2793,1.2718,1.2765,9962,0.002513154794628214
1.2771,1.2878,1.2755,1.2854,10143,0.006972189580885413
1.2854999999999999,1.293,1.266,1.2708,11030,-0.011358332036720209
1.27,1.2747,1.2647,1.2736,10650,0.002203336480957052
1.2739,1.2769,1.2493,1.2541,10884,-0.015310929648241212
1.2517,1.2596,1.245,1.2577,10380,0.0028705844828962324
1.2576,1.2716,1.2522,1.2686,10491,0.008666613659855216
1.2683,1.2709,1.2476,1.2493,10495,-0.015213621314835168
1.2489,1.2517,1.2382,1.2439,10620,-0.004322420555511131
1.244,1.251,1.2371,1.2495,10339,0.004501969611705237
1.2481,1.2544,1.2426,1.2461,10045,-0.0027210884353742193
1.2463,1.2463,1.2195,1.2213,10209,-0.019902094534948955
1.2214,1.222,1.2056,1.2193,11388,-0.001637599279456281
1.2194,1.2243,1.2134,1.2191,10858,-0.000164028540966088
1.2186,1.2433,1.2174,1.2361,10499,0.013944713313099655
1.2366,1.2418,1.2337,1.2398,9784,0.002993285332901996
1.2399,1.2463,1.2274,1.2311,10683,-0.007017260848523943
1.2311,1.2342,1.2198,1.2223,10926,-0.007148078953781334
1.2225,1.2389000000000001,1.2162,1.2345,11572,0.009981183015626227
1.2345,1.2361,1.2173,1.2221,10671,-0.010044552450384714
1.221,1.2319,1.22,1.2264,10542,0.0035185336715488624
1.2265,1.2375,1.223,1.2272,10688,0.000652315720808927
1.2269,1.2292,1.2177,1.2232,10282,-0.0032594524119947677
1.223,1.2438,1.2221,1.2388,11372,0.012753433616742749
1.2389999999999999,1.241,1.2256,1.2283,10325,-0.008475944462382867
1.2274,1.2403,1.2222,1.2346,10059,0.005129040136774288
1.2345,1.2372,1.2264,1.2351,9985,0.00040498947027400867
1.2353,1.237,1.2109,1.2122,10630,-0.018541008825196492
1.2121,1.2203,1.2096,1.2119,11069,-0.0002474839135455653
1.212,1.2215,1.207,1.2123,10371,0.0003300602359930238
1.2118,1.2171,1.2046000000000001,1.216,10079,0.0030520498226511705
1.216,1.2229,1.2151,1.217,10193,0.000822368421052655
1.2173,1.2325,1.2169,1.2316,10538,0.01199671322925222
1.2314,1.2391,1.2253,1.2365,10193,0.00397856446898337
1.2364,1.2374,1.2102,1.2133,10165,-0.01876263647391818
1.2112,1.2131,1.1983,1.2003,10662,-0.010714580070881219
1.2002,1.2145,1.1979,1.2141,11547,0.011497125718570311
1.214,1.22,1.205,1.2172,10209,0.002553331686022675
1.2171,1.2221,1.2059,1.2083,9720,-0.007311863292803311
1.2084,1.2116,1.2065,1.2091,6764,0.000662087229992725
1.2086000000000001,1.21,1.2054,1.2079,8554,-0.000992473740799027
1.2081,1.2084,1.1904,1.1936,12321,-0.011838728371553975
1.1936,1.1977,1.1868,1.1955,12609,0.0015918230563003455
1.1954,1.1996,1.1892,1.1977,13025,0.0018402342116268233
1.1978,1.2049,1.1922,1.1999,12372,0.0018368539701094644
1.2016,1.2081,1.2001,1.2006000000000001,9527,0.0005833819484957203
1.2006000000000001,1.2013,1.1841,1.185,9979,-0.012993503248375893
1.1846,1.1917,1.1815,1.1835,10011,-0.0012658227848101333
1.1834,1.1917,1.1778,1.1909,10077,0.006252640473172866
1.1909,1.1945000000000001,1.1796,1.1843,9810,-0.005542027038374475
1.1801,1.1886,1.1759,1.1862,9188,0.001604323228911575
1.186,1.1949,1.1832,1.1926,9335,0.005395380205698963
1.1926,1.1948,1.1822,1.1848,10483,-0.006540332047627051
1.1851,1.1987,1.1803,1.1963,12956,0.009706279540850682
1.1963,1.2016,1.1917,1.1985999999999999,11929,0.0019225946668894878
1.1996,1.2005,1.192,1.1941,11439,-0.003754380110128408
1.1941,1.2123,1.1926,1.2105,12013,0.013734193116154314
1.211,1.2182,1.2096,1.2159,12801,0.004460966542751077
1.216,1.2177,1.2062,1.2071,13247,-0.007237437289250748
1.2069,1.2147999999999999,1.1875,1.1893,12652,-0.01474608565984592
1.1881,1.1898,1.1811,1.1827,12852,-0.005549482889094404
1.1832,1.1893,1.1787,1.1865,12223,0.003212987232603437
1.1865,1.1945000000000001,1.1834,1.1907,12863,0.003539823008849474
1.1905999999999999,1.1933,1.177,1.1809,13347,-0.008230452674897193
1.1806,1.1905000000000001,1.178,1.189,12103,0.006859175205351953
1.1891,1.2063,1.1878,1.2022,13255,0.011101766190075635
1.2019,1.2042,1.1928,1.1952,12835,-0.005822658459490815
1.1951,1.2046999999999999,1.1936,1.2021,12966,0.005773092369477872
1.202,1.202,1.1894,1.1965,12948,-0.004658514266699942
1.1962,1.2074,1.1952,1.1996,12097,0.002590890096113796
1.1993,1.2027,1.1932,1.201,12106,0.0011670556852285685
1.2005,1.213,1.1985000000000001,1.2102,12741,0.007660283097418619
1.2102,1.2147000000000001,1.2077,1.2116,12837,0.001156833581226202
1.2115,1.2293,1.2086999999999999,1.2268,13031,0.012545394519643427
1.227,1.23,1.2201,1.2215,12467,-0.00432018258884892
1.224,1.2248,1.2177,1.2192,11815,-0.0018829308227589214
1.2197,1.2269,1.2155,1.2244,13310,0.004265091863516979
1.2241,1.231,1.2205,1.2209,12305,-0.002858542959816912
1.2212,1.2255,1.2169,1.2218,12880,0.000737161110655915
1.2219,1.2333,1.2136,1.2286,12604,0.005565559011294852
1.23,1.2342,1.2291,1.2321,11942,0.0028487709588149723
1.2319,1.2356,1.2245,1.2259,12465,-0.00503205908611315
1.2258,1.2278,1.2027,1.2028,13154,-0.01884329880088087
1.2026,1.2121,1.2022,1.2114,12165,0.007149983372131574
1.2117,1.2117,1.1965,1.2009,12319,-0.00866765725606733
1.1974,1.2091,1.1953,1.2056,12795,0.0039137313681405494
1.2054,1.2174,1.2027,1.2162,12397,0.008792302587923073
1.2164,1.2173,1.198,1.2006999999999999,11939,-0.012744614372636187
1.2011,1.2081,1.1992,1.2046000000000001,12020,0.0032481052719248726
1.2046000000000001,1.2151,1.1972,1.2142,11884,0.007969450439979875
1.2144,1.2151,1.2076,1.2112,12201,-0.0024707626420688023
1.2112,1.2136,1.2065,1.212,11981,0.0006605019815058011
1.2114,1.2196,1.2063,1.209,12389,-0.0024752475247523664
1.2093,1.2193,1.204,1.2185,12332,0.007857733664185185
1.2183,1.2193,1.2105,1.2181,12048,-0.0003282724661468617
1.2178,1.2232,1.2122,1.2184,11372,0.0002462851982596437
1.2187000000000001,1.2195,1.2068,1.2081,11503,-0.008453709783322383
1.2081,1.2208,1.2066,1.2186,11958,0.008691333498882514
1.2187999999999999,1.2213,1.213,1.2159,11694,-0.0022156573116690614
1.2156,1.2331,1.2141,1.2321,11772,0.013323464100666094
1.2328000000000001,1.2339,1.2269,1.2285,11085,-0.0029218407596786067
1.2284,1.2333,1.2263,1.2292,11883,0.0005698005698007158
1.2288000000000001,1.2393,1.2273,1.2368999999999999,12215,0.006264236902050024
1.2366,1.2409,1.2339,1.2395,10953,0.0021020292667153218
1.2392,1.2426,1.2368999999999999,1.2418,11055,0.001855586930213704
1.2411,1.244,1.2383,1.241,11315,-0.0006442261233692292
1.241,1.2415,1.2299,1.2336,11463,-0.005962933118452973
1.2337,1.2425,1.2317,1.2387,11195,0.004134241245136172
1.2385,1.2393,1.2326,1.2356,11157,-0.002502623718414365
1.2356,1.2462,1.2327,1.2454,11079,0.007931369375202335
1.2451,1.2464,1.2398,1.2446,10378,-0.0006423638991489566
1.2442,1.2457,1.2299,1.2331,11091,-0.009239916439016449
1.2328000000000001,1.2353,1.221,1.2279,11571,-0.004217014029681332
1.2278,1.2296,1.2232,1.2256,11555,-0.0018731167033145812
1.2259,1.2269,1.2088,1.2095,10827,-0.013136422976501305
1.2103,1.2174,1.2089,1.2149,11630,0.004464654816039637
1.2149,1.2193,1.2035,1.2058,11759,-0.007490328422092407
1.2058,1.2083,1.1999,1.2058,12287,0.0
1.2055,1.2099,1.199,1.2043,12632,-0.0012439873942611257
1.204,1.2122,1.2001,1.2019,12215,-0.001992858922195473
1.2069,1.2096,1.2019,1.2025000000000001,11448,0.0004992095848241895
1.2025000000000001,1.2079,1.1994,1.2051,10854,0.00216216216216214
1.2048,1.2071,1.1968,1.205,11037,-8.298066550493921e-05
